Model,Data Length,Horizon,Signal Lag,Leverage,Double Down,Strategy Type,Net PnL,Gross PnL,Net SR,Gross SR
RBC,5y,1999-12-31_2007-12-31,30b,2,Yes,MR,2.24,2.24,0.47,0.47
RBC,5y,1999-12-31_2007-12-31,20b,2,Yes,MR,2.02,2.02,0.42,0.42
RBC,5y,1999-12-31_2007-12-31,10b,2,Yes,MR,1.71,1.71,0.36,0.36
RBC,5y,1999-12-31_2007-12-31,30b,2,No,MR,1.13,1.13,0.39,0.39
RBC,5y,1999-12-31_2007-12-31,30b,1,Yes,MR,1.12,1.12,0.47,0.47
RBC,10y,1999-12-31_2007-12-31,30b,2,Yes,MR,1.06,1.06,0.22,0.22
RBC,5y,1999-12-31_2007-12-31,20b,1,Yes,MR,1.01,1.01,0.42,0.42
RBC,5y,1999-12-31_2007-12-31,20b,2,No,MR,0.96,0.97,0.33,0.33
RBC,5y,1999-12-31_2007-12-31,10b,1,Yes,MR,0.85,0.85,0.36,0.36
RBC,10y,1999-12-31_2007-12-31,20b,2,Yes,MR,0.78,0.78,0.16,0.16
RBC,5y,1999-12-31_2007-12-31,30b,1,No,MR,0.56,0.57,0.39,0.39
RBC,10y,1999-12-31_2007-12-31,30b,2,No,MR,0.54,0.54,0.19,0.19
RBC,10y,1999-12-31_2007-12-31,30b,1,Yes,MR,0.53,0.53,0.22,0.22
RBC,5y,1999-12-31_2007-12-31,10b,2,No,MR,0.52,0.52,0.18,0.18
RBC,5y,1999-12-31_2007-12-31,20b,1,No,MR,0.48,0.48,0.33,0.33
RBC,10y,1999-12-31_2007-12-31,20b,1,Yes,MR,0.39,0.39,0.16,0.16
RBC,10y,1999-12-31_2007-12-31,20b,2,No,MR,0.32,0.32,0.11,0.11
RBC,10y,1999-12-31_2007-12-31,10b,2,No,MOM,0.32,0.32,0.11,0.11
RBC,10y,1999-12-31_2007-12-31,30b,1,No,MR,0.27,0.27,0.19,0.19
RBC,5y,1999-12-31_2007-12-31,10b,1,No,MR,0.26,0.26,0.18,0.18
RBC,10y,1999-12-31_2007-12-31,10b,2,Yes,MR,0.19,0.19,0.04,0.04
RBC,10y,1999-12-31_2007-12-31,20b,1,No,MR,0.16,0.16,0.11,0.11
RBC,10y,1999-12-31_2007-12-31,10b,1,No,MOM,0.16,0.16,0.11,0.11
RBC,10y,1999-12-31_2007-12-31,10b,1,Yes,MR,0.1,0.1,0.04,0.04
BH,N/A,1999-12-31_2007-12-31,N/A,1,No,N/A,0.03,0.03,0.02,0.02
RBC,10y,1999-12-31_2007-12-31,10b,1,Yes,MOM,-0.1,-0.1,-0.04,-0.04
RBC,10y,1999-12-31_2007-12-31,10b,1,No,MR,-0.16,-0.16,-0.11,-0.11
RBC,10y,1999-12-31_2007-12-31,20b,1,No,MOM,-0.16,-0.16,-0.11,-0.11
RBC,10y,1999-12-31_2007-12-31,10b,2,Yes,MOM,-0.19,-0.19,-0.04,-0.04
RBC,5y,1999-12-31_2007-12-31,10b,1,No,MOM,-0.26,-0.26,-0.18,-0.18
RBC,10y,1999-12-31_2007-12-31,30b,1,No,MOM,-0.27,-0.27,-0.19,-0.19
RBC,10y,1999-12-31_2007-12-31,10b,2,No,MR,-0.32,-0.32,-0.11,-0.11
RBC,10y,1999-12-31_2007-12-31,20b,2,No,MOM,-0.32,-0.32,-0.11,-0.11
RBC,10y,1999-12-31_2007-12-31,20b,1,Yes,MOM,-0.39,-0.39,-0.16,-0.16
RBC,5y,1999-12-31_2007-12-31,20b,1,No,MOM,-0.48,-0.48,-0.33,-0.33
RBC,5y,1999-12-31_2007-12-31,10b,2,No,MOM,-0.53,-0.52,-0.18,-0.18
RBC,10y,1999-12-31_2007-12-31,30b,1,Yes,MOM,-0.53,-0.53,-0.22,-0.22
RBC,10y,1999-12-31_2007-12-31,30b,2,No,MOM,-0.54,-0.54,-0.19,-0.19
RBC,5y,1999-12-31_2007-12-31,30b,1,No,MOM,-0.57,-0.57,-0.39,-0.39
RBC,10y,1999-12-31_2007-12-31,20b,2,Yes,MOM,-0.79,-0.78,-0.16,-0.16
RBC,5y,1999-12-31_2007-12-31,10b,1,Yes,MOM,-0.86,-0.85,-0.36,-0.36
RBC,5y,1999-12-31_2007-12-31,20b,2,No,MOM,-0.97,-0.97,-0.33,-0.33
RBC,5y,1999-12-31_2007-12-31,20b,1,Yes,MOM,-1.01,-1.01,-0.42,-0.42
RBC,10y,1999-12-31_2007-12-31,30b,2,Yes,MOM,-1.06,-1.06,-0.22,-0.22
RBC,5y,1999-12-31_2007-12-31,30b,1,Yes,MOM,-1.12,-1.12,-0.47,-0.47
RBC,5y,1999-12-31_2007-12-31,30b,2,No,MOM,-1.13,-1.13,-0.39,-0.39
RBC,5y,1999-12-31_2007-12-31,10b,2,Yes,MOM,-1.71,-1.71,-0.36,-0.36
RBC,5y,1999-12-31_2007-12-31,20b,2,Yes,MOM,-2.03,-2.02,-0.42,-0.42
RBC,5y,1999-12-31_2007-12-31,30b,2,Yes,MOM,-2.25,-2.24,-0.47,-0.47
