Model,Data Length,Horizon,Signal Lag,Leverage,Double Down,Strategy Type,Net PnL,Gross PnL,Net SR,Gross SR
RBC,5y,2019-12-31_2022-12-31,20b,2,Yes,MOM,1.2,1.2,0.5,0.5
RBC,10y,2019-12-31_2022-12-31,20b,2,Yes,MOM,1.2,1.2,0.5,0.5
RBC,20y,2019-12-31_2022-12-31,20b,2,Yes,MOM,1.2,1.2,0.5,0.5
RBC,5y,2019-12-31_2022-12-31,10b,2,Yes,MOM,1.18,1.19,0.48,0.48
RBC,10y,2019-12-31_2022-12-31,10b,2,Yes,MOM,1.18,1.19,0.48,0.48
RBC,20y,2019-12-31_2022-12-31,10b,2,Yes,MOM,1.18,1.19,0.48,0.48
RBC,5y,2019-12-31_2022-12-31,30b,2,Yes,MOM,1.17,1.18,0.49,0.49
RBC,10y,2019-12-31_2022-12-31,30b,2,Yes,MOM,1.17,1.18,0.49,0.49
RBC,20y,2019-12-31_2022-12-31,30b,2,Yes,MOM,1.17,1.18,0.49,0.49
RBC,5y,2019-12-31_2022-12-31,20b,1,Yes,MOM,0.6,0.6,0.5,0.5
RBC,10y,2019-12-31_2022-12-31,20b,1,Yes,MOM,0.6,0.6,0.5,0.5
RBC,20y,2019-12-31_2022-12-31,20b,1,Yes,MOM,0.6,0.6,0.5,0.5
RBC,5y,2019-12-31_2022-12-31,10b,1,Yes,MOM,0.59,0.59,0.48,0.48
RBC,10y,2019-12-31_2022-12-31,10b,1,Yes,MOM,0.59,0.59,0.48,0.48
RBC,20y,2019-12-31_2022-12-31,10b,1,Yes,MOM,0.59,0.59,0.48,0.48
RBC,5y,2019-12-31_2022-12-31,30b,1,Yes,MOM,0.59,0.59,0.49,0.49
RBC,10y,2019-12-31_2022-12-31,30b,1,Yes,MOM,0.59,0.59,0.49,0.49
RBC,20y,2019-12-31_2022-12-31,30b,1,Yes,MOM,0.59,0.59,0.49,0.49
RBC,5y,2019-12-31_2022-12-31,20b,2,No,MOM,0.44,0.44,0.27,0.27
RBC,10y,2019-12-31_2022-12-31,20b,2,No,MOM,0.44,0.44,0.27,0.27
RBC,20y,2019-12-31_2022-12-31,20b,2,No,MOM,0.44,0.44,0.27,0.27
RBC,5y,2019-12-31_2022-12-31,10b,2,No,MOM,0.41,0.41,0.26,0.26
RBC,10y,2019-12-31_2022-12-31,10b,2,No,MOM,0.41,0.41,0.26,0.26
RBC,20y,2019-12-31_2022-12-31,10b,2,No,MOM,0.41,0.41,0.26,0.26
RBC,5y,2019-12-31_2022-12-31,30b,2,No,MOM,0.37,0.37,0.23,0.23
RBC,10y,2019-12-31_2022-12-31,30b,2,No,MOM,0.37,0.37,0.23,0.23
RBC,20y,2019-12-31_2022-12-31,30b,2,No,MOM,0.37,0.37,0.23,0.23
BH,N/A,2019-12-31_2022-12-31,N/A,1,No,N/A,0.25,0.25,0.32,0.32
RBC,5y,2019-12-31_2022-12-31,20b,1,No,MOM,0.22,0.22,0.27,0.27
RBC,10y,2019-12-31_2022-12-31,20b,1,No,MOM,0.22,0.22,0.27,0.27
RBC,20y,2019-12-31_2022-12-31,20b,1,No,MOM,0.22,0.22,0.27,0.27
RBC,5y,2019-12-31_2022-12-31,10b,1,No,MOM,0.21,0.21,0.26,0.26
RBC,10y,2019-12-31_2022-12-31,10b,1,No,MOM,0.21,0.21,0.26,0.26
RBC,20y,2019-12-31_2022-12-31,10b,1,No,MOM,0.21,0.21,0.26,0.26
RBC,5y,2019-12-31_2022-12-31,30b,1,No,MOM,0.19,0.19,0.23,0.23
RBC,10y,2019-12-31_2022-12-31,30b,1,No,MOM,0.19,0.19,0.23,0.23
RBC,20y,2019-12-31_2022-12-31,30b,1,No,MOM,0.19,0.19,0.23,0.23
RBC,5y,2019-12-31_2022-12-31,30b,1,No,MR,-0.19,-0.19,-0.23,-0.23
RBC,10y,2019-12-31_2022-12-31,30b,1,No,MR,-0.19,-0.19,-0.23,-0.23
RBC,20y,2019-12-31_2022-12-31,30b,1,No,MR,-0.19,-0.19,-0.23,-0.23
RBC,5y,2019-12-31_2022-12-31,10b,1,No,MR,-0.21,-0.21,-0.26,-0.26
RBC,10y,2019-12-31_2022-12-31,10b,1,No,MR,-0.21,-0.21,-0.26,-0.26
RBC,20y,2019-12-31_2022-12-31,10b,1,No,MR,-0.21,-0.21,-0.26,-0.26
RBC,5y,2019-12-31_2022-12-31,20b,1,No,MR,-0.22,-0.22,-0.27,-0.27
RBC,10y,2019-12-31_2022-12-31,20b,1,No,MR,-0.22,-0.22,-0.27,-0.27
RBC,20y,2019-12-31_2022-12-31,20b,1,No,MR,-0.22,-0.22,-0.27,-0.27
RBC,5y,2019-12-31_2022-12-31,30b,2,No,MR,-0.37,-0.37,-0.23,-0.23
RBC,10y,2019-12-31_2022-12-31,30b,2,No,MR,-0.37,-0.37,-0.23,-0.23
RBC,20y,2019-12-31_2022-12-31,30b,2,No,MR,-0.37,-0.37,-0.23,-0.23
RBC,5y,2019-12-31_2022-12-31,10b,2,No,MR,-0.41,-0.41,-0.26,-0.26
RBC,10y,2019-12-31_2022-12-31,10b,2,No,MR,-0.41,-0.41,-0.26,-0.26
RBC,20y,2019-12-31_2022-12-31,10b,2,No,MR,-0.41,-0.41,-0.26,-0.26
RBC,5y,2019-12-31_2022-12-31,20b,2,No,MR,-0.44,-0.44,-0.27,-0.27
RBC,10y,2019-12-31_2022-12-31,20b,2,No,MR,-0.44,-0.44,-0.27,-0.27
RBC,20y,2019-12-31_2022-12-31,20b,2,No,MR,-0.44,-0.44,-0.27,-0.27
RBC,5y,2019-12-31_2022-12-31,30b,1,Yes,MR,-0.59,-0.59,-0.49,-0.49
RBC,10y,2019-12-31_2022-12-31,30b,1,Yes,MR,-0.59,-0.59,-0.49,-0.49
RBC,20y,2019-12-31_2022-12-31,30b,1,Yes,MR,-0.59,-0.59,-0.49,-0.49
RBC,5y,2019-12-31_2022-12-31,10b,1,Yes,MR,-0.59,-0.59,-0.48,-0.48
RBC,10y,2019-12-31_2022-12-31,10b,1,Yes,MR,-0.59,-0.59,-0.48,-0.48
RBC,20y,2019-12-31_2022-12-31,10b,1,Yes,MR,-0.59,-0.59,-0.48,-0.48
RBC,5y,2019-12-31_2022-12-31,20b,1,Yes,MR,-0.6,-0.6,-0.5,-0.5
RBC,10y,2019-12-31_2022-12-31,20b,1,Yes,MR,-0.6,-0.6,-0.5,-0.5
RBC,20y,2019-12-31_2022-12-31,20b,1,Yes,MR,-0.6,-0.6,-0.5,-0.5
RBC,5y,2019-12-31_2022-12-31,30b,2,Yes,MR,-1.18,-1.18,-0.49,-0.49
RBC,10y,2019-12-31_2022-12-31,30b,2,Yes,MR,-1.18,-1.18,-0.49,-0.49
RBC,20y,2019-12-31_2022-12-31,30b,2,Yes,MR,-1.18,-1.18,-0.49,-0.49
RBC,5y,2019-12-31_2022-12-31,10b,2,Yes,MR,-1.19,-1.19,-0.48,-0.48
RBC,10y,2019-12-31_2022-12-31,10b,2,Yes,MR,-1.19,-1.19,-0.48,-0.48
RBC,20y,2019-12-31_2022-12-31,10b,2,Yes,MR,-1.19,-1.19,-0.48,-0.48
RBC,5y,2019-12-31_2022-12-31,20b,2,Yes,MR,-1.21,-1.2,-0.5,-0.5
RBC,10y,2019-12-31_2022-12-31,20b,2,Yes,MR,-1.21,-1.2,-0.5,-0.5
RBC,20y,2019-12-31_2022-12-31,20b,2,Yes,MR,-1.21,-1.2,-0.5,-0.5
