Model,Data Length,Horizon,Signal Lag,Leverage,Double Down,Strategy Type,Net PnL,Gross PnL,Net SR,Gross SR
RBC,10y,1999-12-31_2025-09-30,10b,1,No,MR,0.51,0.51,0.1,0.1
RBC,5y,1999-12-31_2025-09-30,10b,1,No,MR,0.37,0.37,0.07,0.07
RBC,5y,1999-12-31_2007-12-31,10b,1,No,MR,0.26,0.26,0.18,0.18
RBC,10y,1999-12-31_2007-12-31,10b,1,No,MR,-0.16,-0.16,-0.11,-0.11
RBC,5y,2007-12-31_2009-12-31,10b,1,No,MR,-0.47,-0.47,-0.64,-0.64
RBC,10y,2007-12-31_2009-12-31,10b,1,No,MR,-0.54,-0.54,-0.72,-0.72
RBC,20y,2009-12-31_2019-12-31,10b,1,No,MR,1.43,1.43,0.82,0.82
RBC,10y,2009-12-31_2019-12-31,10b,1,No,MR,1.42,1.42,0.82,0.82
RBC,5y,2009-12-31_2019-12-31,10b,1,No,MR,1.06,1.06,0.61,0.61
RBC,5y,2019-12-31_2022-12-31,10b,1,No,MR,-0.26,-0.26,-0.32,-0.32
RBC,10y,2019-12-31_2022-12-31,10b,1,No,MR,-0.26,-0.26,-0.32,-0.32
RBC,20y,2019-12-31_2022-12-31,10b,1,No,MR,-0.26,-0.26,-0.32,-0.32
RBC,10y,2022-12-31_2025-09-30,10b,1,No,MR,0.16,0.16,0.38,0.38
RBC,20y,2022-12-31_2025-09-30,10b,1,No,MR,0.16,0.16,0.38,0.38
RBC,5y,2022-12-31_2025-09-30,10b,1,No,MR,-0.02,-0.02,-0.05,-0.05
