Model,Data Length,Horizon,Signal Lag,Leverage,Double Down,Strategy Type,Net PnL,Gross PnL,Net SR,Gross SR
RBC,10y,2022-12-31_2025-09-30,30b,2,Yes,MR,0.88,0.89,0.86,0.86
RBC,20y,2022-12-31_2025-09-30,30b,2,Yes,MR,0.88,0.89,0.86,0.86
RBC,10y,2022-12-31_2025-09-30,30b,2,No,MR,0.71,0.71,0.95,0.95
RBC,20y,2022-12-31_2025-09-30,30b,2,No,MR,0.71,0.71,0.95,0.95
RBC,10y,2022-12-31_2025-09-30,20b,2,Yes,MR,0.5,0.5,0.47,0.47
RBC,20y,2022-12-31_2025-09-30,20b,2,Yes,MR,0.5,0.5,0.47,0.47
RBC,10y,2022-12-31_2025-09-30,30b,1,Yes,MR,0.44,0.44,0.86,0.86
RBC,20y,2022-12-31_2025-09-30,30b,1,Yes,MR,0.44,0.44,0.86,0.86
RBC,5y,2022-12-31_2025-09-30,30b,2,Yes,MR,0.43,0.44,0.33,0.33
RBC,10y,2022-12-31_2025-09-30,20b,2,No,MR,0.43,0.43,0.57,0.58
RBC,20y,2022-12-31_2025-09-30,20b,2,No,MR,0.43,0.43,0.57,0.58
BH,N/A,2022-12-31_2025-09-30,N/A,1,No,N/A,0.4,0.4,1.0,1.0
RBC,5y,2022-12-31_2025-09-30,30b,2,No,MR,0.37,0.37,0.5,0.5
RBC,10y,2022-12-31_2025-09-30,30b,1,No,MR,0.36,0.36,0.95,0.95
RBC,20y,2022-12-31_2025-09-30,30b,1,No,MR,0.36,0.36,0.95,0.95
RBC,10y,2022-12-31_2025-09-30,10b,2,Yes,MR,0.29,0.29,0.26,0.26
RBC,20y,2022-12-31_2025-09-30,10b,2,Yes,MR,0.29,0.29,0.26,0.26
RBC,10y,2022-12-31_2025-09-30,20b,1,Yes,MR,0.25,0.25,0.47,0.47
RBC,20y,2022-12-31_2025-09-30,20b,1,Yes,MR,0.25,0.25,0.47,0.47
RBC,10y,2022-12-31_2025-09-30,10b,2,No,MR,0.24,0.24,0.31,0.32
RBC,20y,2022-12-31_2025-09-30,10b,2,No,MR,0.24,0.24,0.31,0.32
RBC,5y,2022-12-31_2025-09-30,30b,1,Yes,MR,0.22,0.22,0.33,0.33
RBC,10y,2022-12-31_2025-09-30,20b,1,No,MR,0.22,0.22,0.57,0.58
RBC,20y,2022-12-31_2025-09-30,20b,1,No,MR,0.22,0.22,0.57,0.58
