Model,Data Length,Horizon,Signal Lag,Leverage,Double Down,Strategy Type,Net PnL,Gross PnL,Net SR,Gross SR
RBC,10y,1999-12-31_2025-09-30,30b,2,Yes,MR,3.48,3.48,0.22,0.22
RBC,5y,1999-12-31_2025-09-30,30b,2,Yes,MR,3.32,3.32,0.21,0.21
RBC,10y,1999-12-31_2025-09-30,20b,2,Yes,MR,3.0,3.01,0.19,0.19
RBC,5y,1999-12-31_2025-09-30,20b,2,Yes,MR,2.81,2.82,0.18,0.18
RBC,5y,1999-12-31_2025-09-30,10b,2,Yes,MR,2.41,2.42,0.15,0.15
RBC,10y,1999-12-31_2025-09-30,10b,2,Yes,MR,2.18,2.19,0.14,0.14
RBC,10y,1999-12-31_2025-09-30,30b,2,No,MR,2.18,2.18,0.23,0.23
RBC,5y,1999-12-31_2025-09-30,30b,2,No,MR,1.88,1.88,0.2,0.2
BH,N/A,1999-12-31_2025-09-30,N/A,1,No,N/A,1.87,1.87,0.39,0.39
RBC,10y,1999-12-31_2025-09-30,20b,2,No,MR,1.87,1.87,0.2,0.2
RBC,10y,1999-12-31_2025-09-30,30b,1,Yes,MR,1.74,1.74,0.22,0.22
RBC,5y,1999-12-31_2025-09-30,30b,1,Yes,MR,1.66,1.66,0.21,0.21
RBC,10y,1999-12-31_2025-09-30,20b,1,Yes,MR,1.5,1.51,0.19,0.19
RBC,5y,1999-12-31_2025-09-30,20b,1,Yes,MR,1.41,1.41,0.18,0.18
RBC,5y,1999-12-31_2025-09-30,20b,2,No,MR,1.34,1.34,0.14,0.14
RBC,5y,1999-12-31_2025-09-30,10b,1,Yes,MR,1.21,1.21,0.15,0.15
RBC,10y,1999-12-31_2025-09-30,10b,1,Yes,MR,1.09,1.09,0.14,0.14
RBC,10y,1999-12-31_2025-09-30,30b,1,No,MR,1.09,1.09,0.23,0.23
RBC,10y,1999-12-31_2025-09-30,10b,2,No,MR,1.0,1.0,0.1,0.11
RBC,5y,1999-12-31_2025-09-30,30b,1,No,MR,0.94,0.94,0.2,0.2
RBC,10y,1999-12-31_2025-09-30,20b,1,No,MR,0.93,0.94,0.2,0.2
RBC,5y,1999-12-31_2025-09-30,10b,2,No,MR,0.76,0.77,0.08,0.08
RBC,5y,1999-12-31_2025-09-30,20b,1,No,MR,0.67,0.67,0.14,0.14
RBC,10y,1999-12-31_2025-09-30,10b,1,No,MR,0.5,0.5,0.1,0.11
RBC,5y,1999-12-31_2025-09-30,10b,1,No,MR,0.38,0.38,0.08,0.08
RBC,5y,1999-12-31_2025-09-30,10b,1,No,MOM,-0.38,-0.38,-0.08,-0.08
RBC,10y,1999-12-31_2025-09-30,10b,1,No,MOM,-0.5,-0.5,-0.11,-0.11
RBC,5y,1999-12-31_2025-09-30,20b,1,No,MOM,-0.67,-0.67,-0.14,-0.14
RBC,5y,1999-12-31_2025-09-30,10b,2,No,MOM,-0.77,-0.77,-0.08,-0.08
RBC,10y,1999-12-31_2025-09-30,20b,1,No,MOM,-0.94,-0.94,-0.2,-0.2
RBC,5y,1999-12-31_2025-09-30,30b,1,No,MOM,-0.94,-0.94,-0.2,-0.2
RBC,10y,1999-12-31_2025-09-30,10b,2,No,MOM,-1.01,-1.0,-0.11,-0.11
RBC,10y,1999-12-31_2025-09-30,30b,1,No,MOM,-1.09,-1.09,-0.23,-0.23
RBC,10y,1999-12-31_2025-09-30,10b,1,Yes,MOM,-1.1,-1.09,-0.14,-0.14
RBC,5y,1999-12-31_2025-09-30,10b,1,Yes,MOM,-1.21,-1.21,-0.15,-0.15
RBC,5y,1999-12-31_2025-09-30,20b,2,No,MOM,-1.35,-1.34,-0.14,-0.14
RBC,5y,1999-12-31_2025-09-30,20b,1,Yes,MOM,-1.41,-1.41,-0.18,-0.18
RBC,10y,1999-12-31_2025-09-30,20b,1,Yes,MOM,-1.51,-1.51,-0.19,-0.19
RBC,5y,1999-12-31_2025-09-30,30b,1,Yes,MOM,-1.67,-1.66,-0.21,-0.21
RBC,10y,1999-12-31_2025-09-30,30b,1,Yes,MOM,-1.74,-1.74,-0.22,-0.22
RBC,10y,1999-12-31_2025-09-30,20b,2,No,MOM,-1.88,-1.87,-0.2,-0.2
RBC,5y,1999-12-31_2025-09-30,30b,2,No,MOM,-1.89,-1.88,-0.2,-0.2
RBC,10y,1999-12-31_2025-09-30,30b,2,No,MOM,-2.19,-2.18,-0.23,-0.23
RBC,10y,1999-12-31_2025-09-30,10b,2,Yes,MOM,-2.19,-2.19,-0.14,-0.14
RBC,5y,1999-12-31_2025-09-30,10b,2,Yes,MOM,-2.43,-2.42,-0.15,-0.15
RBC,5y,1999-12-31_2025-09-30,20b,2,Yes,MOM,-2.83,-2.82,-0.18,-0.18
RBC,10y,1999-12-31_2025-09-30,20b,2,Yes,MOM,-3.02,-3.01,-0.19,-0.19
RBC,5y,1999-12-31_2025-09-30,30b,2,Yes,MOM,-3.33,-3.32,-0.21,-0.21
RBC,10y,1999-12-31_2025-09-30,30b,2,Yes,MOM,-3.49,-3.48,-0.22,-0.22
