Model,Data Length,Horizon,Signal Lag,Leverage,Double Down,Strategy Type,Net PnL,Gross PnL,Net SR,Gross SR
RBC,10y,2007-12-31_2009-12-31,10b,2,Yes,MOM,1.8,1.8,0.88,0.88
RBC,10y,2007-12-31_2009-12-31,30b,2,Yes,MOM,1.75,1.75,0.89,0.89
RBC,5y,2007-12-31_2009-12-31,30b,2,Yes,MOM,1.72,1.72,0.84,0.84
RBC,10y,2007-12-31_2009-12-31,20b,2,Yes,MOM,1.62,1.62,0.81,0.81
RBC,5y,2007-12-31_2009-12-31,20b,2,Yes,MOM,1.57,1.57,0.76,0.76
RBC,5y,2007-12-31_2009-12-31,10b,2,Yes,MOM,1.51,1.51,0.71,0.71
RBC,5y,2007-12-31_2009-12-31,30b,2,No,MOM,1.12,1.12,0.76,0.76
RBC,10y,2007-12-31_2009-12-31,10b,2,No,MOM,1.08,1.08,0.72,0.72
RBC,5y,2007-12-31_2009-12-31,20b,2,No,MOM,1.0,1.0,0.68,0.68
RBC,10y,2007-12-31_2009-12-31,30b,2,No,MOM,0.99,0.99,0.67,0.67
RBC,5y,2007-12-31_2009-12-31,10b,2,No,MOM,0.95,0.95,0.64,0.64
RBC,10y,2007-12-31_2009-12-31,10b,1,Yes,MOM,0.9,0.9,0.88,0.88
RBC,10y,2007-12-31_2009-12-31,30b,1,Yes,MOM,0.87,0.87,0.89,0.89
RBC,10y,2007-12-31_2009-12-31,20b,2,No,MOM,0.86,0.86,0.58,0.58
RBC,5y,2007-12-31_2009-12-31,30b,1,Yes,MOM,0.86,0.86,0.84,0.84
RBC,10y,2007-12-31_2009-12-31,20b,1,Yes,MOM,0.81,0.81,0.81,0.81
RBC,5y,2007-12-31_2009-12-31,20b,1,Yes,MOM,0.79,0.79,0.76,0.76
RBC,5y,2007-12-31_2009-12-31,10b,1,Yes,MOM,0.75,0.75,0.71,0.71
RBC,5y,2007-12-31_2009-12-31,30b,1,No,MOM,0.56,0.56,0.76,0.76
RBC,10y,2007-12-31_2009-12-31,10b,1,No,MOM,0.54,0.54,0.72,0.72
RBC,5y,2007-12-31_2009-12-31,20b,1,No,MOM,0.5,0.5,0.68,0.68
RBC,10y,2007-12-31_2009-12-31,30b,1,No,MOM,0.5,0.5,0.67,0.67
RBC,5y,2007-12-31_2009-12-31,10b,1,No,MOM,0.47,0.47,0.64,0.64
RBC,10y,2007-12-31_2009-12-31,20b,1,No,MOM,0.43,0.43,0.58,0.58
BH,N/A,2007-12-31_2009-12-31,N/A,1,No,N/A,-0.1,-0.1,-0.14,-0.14
RBC,10y,2007-12-31_2009-12-31,20b,1,No,MR,-0.43,-0.43,-0.58,-0.58
RBC,5y,2007-12-31_2009-12-31,10b,1,No,MR,-0.47,-0.47,-0.64,-0.64
RBC,10y,2007-12-31_2009-12-31,30b,1,No,MR,-0.5,-0.5,-0.67,-0.67
RBC,5y,2007-12-31_2009-12-31,20b,1,No,MR,-0.5,-0.5,-0.68,-0.68
RBC,10y,2007-12-31_2009-12-31,10b,1,No,MR,-0.54,-0.54,-0.72,-0.72
RBC,5y,2007-12-31_2009-12-31,30b,1,No,MR,-0.56,-0.56,-0.76,-0.76
RBC,5y,2007-12-31_2009-12-31,10b,1,Yes,MR,-0.75,-0.75,-0.71,-0.71
RBC,5y,2007-12-31_2009-12-31,20b,1,Yes,MR,-0.79,-0.79,-0.76,-0.76
RBC,10y,2007-12-31_2009-12-31,20b,1,Yes,MR,-0.81,-0.81,-0.81,-0.81
RBC,5y,2007-12-31_2009-12-31,30b,1,Yes,MR,-0.86,-0.86,-0.84,-0.84
RBC,10y,2007-12-31_2009-12-31,20b,2,No,MR,-0.86,-0.86,-0.58,-0.58
RBC,10y,2007-12-31_2009-12-31,30b,1,Yes,MR,-0.87,-0.87,-0.89,-0.89
RBC,10y,2007-12-31_2009-12-31,10b,1,Yes,MR,-0.9,-0.9,-0.88,-0.88
RBC,5y,2007-12-31_2009-12-31,10b,2,No,MR,-0.95,-0.95,-0.64,-0.64
RBC,10y,2007-12-31_2009-12-31,30b,2,No,MR,-0.99,-0.99,-0.67,-0.67
RBC,5y,2007-12-31_2009-12-31,20b,2,No,MR,-1.0,-1.0,-0.68,-0.68
RBC,10y,2007-12-31_2009-12-31,10b,2,No,MR,-1.08,-1.08,-0.72,-0.72
RBC,5y,2007-12-31_2009-12-31,30b,2,No,MR,-1.12,-1.12,-0.76,-0.76
RBC,5y,2007-12-31_2009-12-31,10b,2,Yes,MR,-1.51,-1.51,-0.71,-0.71
RBC,5y,2007-12-31_2009-12-31,20b,2,Yes,MR,-1.58,-1.57,-0.76,-0.76
RBC,10y,2007-12-31_2009-12-31,20b,2,Yes,MR,-1.62,-1.62,-0.81,-0.81
RBC,5y,2007-12-31_2009-12-31,30b,2,Yes,MR,-1.72,-1.72,-0.84,-0.84
RBC,10y,2007-12-31_2009-12-31,30b,2,Yes,MR,-1.75,-1.75,-0.89,-0.89
RBC,10y,2007-12-31_2009-12-31,10b,2,Yes,MR,-1.81,-1.8,-0.88,-0.88
