Model,Data Length,Horizon,Signal Lag,Leverage,Double Down,Strategy Type,Net PnL,Gross PnL,Net SR,Gross SR
RBC,10y,2009-12-31_2019-12-31,10b,2,Yes,MR,4.86,4.86,0.82,0.82
RBC,20y,2009-12-31_2019-12-31,10b,2,Yes,MR,4.77,4.77,0.82,0.82
RBC,10y,2009-12-31_2019-12-31,30b,2,Yes,MR,4.51,4.52,0.77,0.77
RBC,10y,2009-12-31_2019-12-31,20b,2,Yes,MR,4.37,4.37,0.74,0.74
RBC,20y,2009-12-31_2019-12-31,20b,2,Yes,MR,4.25,4.26,0.73,0.73
RBC,20y,2009-12-31_2019-12-31,30b,2,Yes,MR,3.96,3.96,0.69,0.69
RBC,5y,2009-12-31_2019-12-31,10b,2,Yes,MR,3.86,3.87,0.67,0.67
RBC,5y,2009-12-31_2019-12-31,30b,2,Yes,MR,3.78,3.78,0.66,0.66
RBC,5y,2009-12-31_2019-12-31,20b,2,Yes,MR,3.62,3.62,0.63,0.63
RBC,20y,2009-12-31_2019-12-31,10b,2,No,MR,2.78,2.78,0.81,0.81
RBC,10y,2009-12-31_2019-12-31,10b,2,No,MR,2.74,2.74,0.8,0.8
RBC,10y,2009-12-31_2019-12-31,30b,2,No,MR,2.54,2.54,0.74,0.74
RBC,10y,2009-12-31_2019-12-31,10b,1,Yes,MR,2.43,2.43,0.82,0.82
RBC,20y,2009-12-31_2019-12-31,20b,2,No,MR,2.42,2.43,0.71,0.71
RBC,10y,2009-12-31_2019-12-31,20b,2,No,MR,2.41,2.42,0.7,0.71
RBC,20y,2009-12-31_2019-12-31,10b,1,Yes,MR,2.38,2.38,0.82,0.82
RBC,10y,2009-12-31_2019-12-31,30b,1,Yes,MR,2.26,2.26,0.77,0.77
RBC,20y,2009-12-31_2019-12-31,30b,2,No,MR,2.25,2.25,0.66,0.66
RBC,5y,2009-12-31_2019-12-31,30b,2,No,MR,2.2,2.2,0.64,0.64
RBC,10y,2009-12-31_2019-12-31,20b,1,Yes,MR,2.19,2.19,0.74,0.74
RBC,20y,2009-12-31_2019-12-31,20b,1,Yes,MR,2.13,2.13,0.73,0.73
RBC,5y,2009-12-31_2019-12-31,10b,2,No,MR,2.06,2.06,0.6,0.6
RBC,20y,2009-12-31_2019-12-31,30b,1,Yes,MR,1.98,1.98,0.69,0.69
RBC,5y,2009-12-31_2019-12-31,20b,2,No,MR,1.97,1.97,0.57,0.58
RBC,5y,2009-12-31_2019-12-31,10b,1,Yes,MR,1.93,1.93,0.67,0.67
RBC,5y,2009-12-31_2019-12-31,30b,1,Yes,MR,1.89,1.89,0.66,0.66
RBC,5y,2009-12-31_2019-12-31,20b,1,Yes,MR,1.81,1.81,0.63,0.63
RBC,20y,2009-12-31_2019-12-31,10b,1,No,MR,1.39,1.39,0.81,0.81
RBC,10y,2009-12-31_2019-12-31,10b,1,No,MR,1.37,1.37,0.8,0.8
RBC,10y,2009-12-31_2019-12-31,30b,1,No,MR,1.27,1.27,0.74,0.74
RBC,20y,2009-12-31_2019-12-31,20b,1,No,MR,1.21,1.21,0.71,0.71
RBC,10y,2009-12-31_2019-12-31,20b,1,No,MR,1.21,1.21,0.7,0.71
RBC,20y,2009-12-31_2019-12-31,30b,1,No,MR,1.12,1.12,0.66,0.66
RBC,5y,2009-12-31_2019-12-31,30b,1,No,MR,1.1,1.1,0.64,0.64
RBC,5y,2009-12-31_2019-12-31,10b,1,No,MR,1.03,1.03,0.6,0.6
RBC,5y,2009-12-31_2019-12-31,20b,1,No,MR,0.98,0.99,0.57,0.58
BH,N/A,2009-12-31_2019-12-31,N/A,1,No,N/A,0.89,0.89,0.52,0.52
RBC,5y,2009-12-31_2019-12-31,20b,1,No,MOM,-0.99,-0.99,-0.58,-0.58
RBC,5y,2009-12-31_2019-12-31,10b,1,No,MOM,-1.03,-1.03,-0.6,-0.6
RBC,5y,2009-12-31_2019-12-31,30b,1,No,MOM,-1.1,-1.1,-0.65,-0.64
RBC,20y,2009-12-31_2019-12-31,30b,1,No,MOM,-1.13,-1.12,-0.66,-0.66
RBC,10y,2009-12-31_2019-12-31,20b,1,No,MOM,-1.21,-1.21,-0.71,-0.71
RBC,20y,2009-12-31_2019-12-31,20b,1,No,MOM,-1.21,-1.21,-0.71,-0.71
RBC,10y,2009-12-31_2019-12-31,30b,1,No,MOM,-1.27,-1.27,-0.74,-0.74
RBC,10y,2009-12-31_2019-12-31,10b,1,No,MOM,-1.37,-1.37,-0.8,-0.8
RBC,20y,2009-12-31_2019-12-31,10b,1,No,MOM,-1.39,-1.39,-0.81,-0.81
RBC,5y,2009-12-31_2019-12-31,20b,1,Yes,MOM,-1.81,-1.81,-0.63,-0.63
RBC,5y,2009-12-31_2019-12-31,30b,1,Yes,MOM,-1.89,-1.89,-0.66,-0.66
RBC,5y,2009-12-31_2019-12-31,10b,1,Yes,MOM,-1.93,-1.93,-0.67,-0.67
RBC,5y,2009-12-31_2019-12-31,20b,2,No,MOM,-1.97,-1.97,-0.58,-0.58
RBC,20y,2009-12-31_2019-12-31,30b,1,Yes,MOM,-1.98,-1.98,-0.69,-0.69
RBC,5y,2009-12-31_2019-12-31,10b,2,No,MOM,-2.06,-2.06,-0.6,-0.6
RBC,20y,2009-12-31_2019-12-31,20b,1,Yes,MOM,-2.13,-2.13,-0.73,-0.73
RBC,10y,2009-12-31_2019-12-31,20b,1,Yes,MOM,-2.19,-2.19,-0.74,-0.74
RBC,5y,2009-12-31_2019-12-31,30b,2,No,MOM,-2.21,-2.2,-0.65,-0.64
RBC,20y,2009-12-31_2019-12-31,30b,2,No,MOM,-2.25,-2.25,-0.66,-0.66
RBC,10y,2009-12-31_2019-12-31,30b,1,Yes,MOM,-2.26,-2.26,-0.77,-0.77
RBC,20y,2009-12-31_2019-12-31,10b,1,Yes,MOM,-2.38,-2.38,-0.82,-0.82
RBC,10y,2009-12-31_2019-12-31,20b,2,No,MOM,-2.42,-2.42,-0.71,-0.71
RBC,20y,2009-12-31_2019-12-31,20b,2,No,MOM,-2.43,-2.43,-0.71,-0.71
RBC,10y,2009-12-31_2019-12-31,10b,1,Yes,MOM,-2.43,-2.43,-0.82,-0.82
RBC,10y,2009-12-31_2019-12-31,30b,2,No,MOM,-2.54,-2.54,-0.74,-0.74
RBC,10y,2009-12-31_2019-12-31,10b,2,No,MOM,-2.74,-2.74,-0.8,-0.8
RBC,20y,2009-12-31_2019-12-31,10b,2,No,MOM,-2.78,-2.78,-0.81,-0.81
