Model,Data Length,Horizon,Signal Lag,Leverage,Double Down,Strategy Type,Net PnL,Gross PnL,Net SR,Gross SR
RBC,10y,2009-12-31_2019-12-31,10b,2,Yes,MR,5.19,5.19,0.85,0.85
RBC,10y,2009-12-31_2019-12-31,30b,2,Yes,MR,5.04,5.04,0.83,0.83
RBC,20y,2009-12-31_2019-12-31,10b,2,Yes,MR,5.02,5.02,0.83,0.83
RBC,10y,2009-12-31_2019-12-31,20b,2,Yes,MR,4.81,4.81,0.79,0.79
RBC,20y,2009-12-31_2019-12-31,20b,2,Yes,MR,4.6,4.6,0.77,0.77
RBC,20y,2009-12-31_2019-12-31,30b,2,Yes,MR,4.43,4.43,0.74,0.74
RBC,5y,2009-12-31_2019-12-31,30b,2,Yes,MR,4.17,4.17,0.7,0.71
RBC,5y,2009-12-31_2019-12-31,10b,2,Yes,MR,4.14,4.14,0.7,0.7
RBC,5y,2009-12-31_2019-12-31,20b,2,Yes,MR,3.95,3.95,0.67,0.67
RBC,20y,2009-12-31_2019-12-31,10b,2,No,MR,2.86,2.86,0.82,0.82
RBC,10y,2009-12-31_2019-12-31,10b,2,No,MR,2.85,2.85,0.82,0.82
RBC,10y,2009-12-31_2019-12-31,30b,2,No,MR,2.79,2.79,0.81,0.81
RBC,10y,2009-12-31_2019-12-31,10b,1,Yes,MR,2.6,2.6,0.85,0.85
RBC,10y,2009-12-31_2019-12-31,20b,2,No,MR,2.59,2.59,0.75,0.75
RBC,20y,2009-12-31_2019-12-31,20b,2,No,MR,2.56,2.56,0.74,0.74
RBC,10y,2009-12-31_2019-12-31,30b,1,Yes,MR,2.52,2.52,0.83,0.83
RBC,20y,2009-12-31_2019-12-31,10b,1,Yes,MR,2.51,2.51,0.83,0.83
RBC,20y,2009-12-31_2019-12-31,30b,2,No,MR,2.5,2.5,0.72,0.72
RBC,10y,2009-12-31_2019-12-31,20b,1,Yes,MR,2.4,2.4,0.79,0.79
RBC,5y,2009-12-31_2019-12-31,30b,2,No,MR,2.36,2.37,0.68,0.68
RBC,20y,2009-12-31_2019-12-31,20b,1,Yes,MR,2.3,2.3,0.77,0.77
RBC,20y,2009-12-31_2019-12-31,30b,1,Yes,MR,2.21,2.21,0.74,0.74
RBC,5y,2009-12-31_2019-12-31,10b,2,No,MR,2.12,2.12,0.61,0.61
RBC,5y,2009-12-31_2019-12-31,20b,2,No,MR,2.1,2.1,0.6,0.6
RBC,5y,2009-12-31_2019-12-31,30b,1,Yes,MR,2.08,2.09,0.7,0.71
RBC,5y,2009-12-31_2019-12-31,10b,1,Yes,MR,2.07,2.07,0.7,0.7
RBC,5y,2009-12-31_2019-12-31,20b,1,Yes,MR,1.98,1.98,0.67,0.67
RBC,20y,2009-12-31_2019-12-31,10b,1,No,MR,1.43,1.43,0.82,0.82
RBC,10y,2009-12-31_2019-12-31,10b,1,No,MR,1.42,1.42,0.82,0.82
RBC,10y,2009-12-31_2019-12-31,30b,1,No,MR,1.4,1.4,0.81,0.81
RBC,10y,2009-12-31_2019-12-31,20b,1,No,MR,1.3,1.3,0.75,0.75
RBC,20y,2009-12-31_2019-12-31,20b,1,No,MR,1.28,1.28,0.74,0.74
RBC,20y,2009-12-31_2019-12-31,30b,1,No,MR,1.25,1.25,0.72,0.72
RBC,5y,2009-12-31_2019-12-31,30b,1,No,MR,1.18,1.18,0.68,0.68
RBC,5y,2009-12-31_2019-12-31,10b,1,No,MR,1.06,1.06,0.61,0.61
RBC,5y,2009-12-31_2019-12-31,20b,1,No,MR,1.05,1.05,0.6,0.6
BH,N/A,2009-12-31_2019-12-31,N/A,1,No,N/A,0.99,0.99,0.57,0.57
RBC,5y,2009-12-31_2019-12-31,20b,1,No,MOM,-1.05,-1.05,-0.6,-0.6
RBC,5y,2009-12-31_2019-12-31,10b,1,No,MOM,-1.06,-1.06,-0.61,-0.61
RBC,5y,2009-12-31_2019-12-31,30b,1,No,MOM,-1.18,-1.18,-0.68,-0.68
RBC,20y,2009-12-31_2019-12-31,30b,1,No,MOM,-1.25,-1.25,-0.72,-0.72
RBC,20y,2009-12-31_2019-12-31,20b,1,No,MOM,-1.28,-1.28,-0.74,-0.74
RBC,10y,2009-12-31_2019-12-31,20b,1,No,MOM,-1.3,-1.3,-0.75,-0.75
RBC,10y,2009-12-31_2019-12-31,30b,1,No,MOM,-1.4,-1.4,-0.81,-0.81
RBC,10y,2009-12-31_2019-12-31,10b,1,No,MOM,-1.42,-1.42,-0.82,-0.82
RBC,20y,2009-12-31_2019-12-31,10b,1,No,MOM,-1.43,-1.43,-0.82,-0.82
RBC,5y,2009-12-31_2019-12-31,20b,1,Yes,MOM,-1.98,-1.98,-0.67,-0.67
RBC,5y,2009-12-31_2019-12-31,10b,1,Yes,MOM,-2.07,-2.07,-0.7,-0.7
RBC,5y,2009-12-31_2019-12-31,30b,1,Yes,MOM,-2.09,-2.09,-0.71,-0.71
RBC,5y,2009-12-31_2019-12-31,20b,2,No,MOM,-2.1,-2.1,-0.6,-0.6
RBC,5y,2009-12-31_2019-12-31,10b,2,No,MOM,-2.12,-2.12,-0.61,-0.61
RBC,20y,2009-12-31_2019-12-31,30b,1,Yes,MOM,-2.22,-2.21,-0.74,-0.74
RBC,20y,2009-12-31_2019-12-31,20b,1,Yes,MOM,-2.3,-2.3,-0.77,-0.77
RBC,5y,2009-12-31_2019-12-31,30b,2,No,MOM,-2.37,-2.37,-0.68,-0.68
RBC,10y,2009-12-31_2019-12-31,20b,1,Yes,MOM,-2.4,-2.4,-0.79,-0.79
RBC,20y,2009-12-31_2019-12-31,30b,2,No,MOM,-2.5,-2.5,-0.72,-0.72
RBC,20y,2009-12-31_2019-12-31,10b,1,Yes,MOM,-2.51,-2.51,-0.84,-0.83
RBC,10y,2009-12-31_2019-12-31,30b,1,Yes,MOM,-2.52,-2.52,-0.83,-0.83
RBC,20y,2009-12-31_2019-12-31,20b,2,No,MOM,-2.56,-2.56,-0.74,-0.74
RBC,10y,2009-12-31_2019-12-31,20b,2,No,MOM,-2.59,-2.59,-0.75,-0.75
RBC,10y,2009-12-31_2019-12-31,10b,1,Yes,MOM,-2.6,-2.6,-0.85,-0.85
RBC,10y,2009-12-31_2019-12-31,30b,2,No,MOM,-2.79,-2.79,-0.81,-0.81
RBC,10y,2009-12-31_2019-12-31,10b,2,No,MOM,-2.85,-2.85,-0.82,-0.82
RBC,20y,2009-12-31_2019-12-31,10b,2,No,MOM,-2.86,-2.86,-0.82,-0.82
RBC,5y,2009-12-31_2019-12-31,20b,2,Yes,MOM,-3.96,-3.95,-0.67,-0.67
RBC,5y,2009-12-31_2019-12-31,10b,2,Yes,MOM,-4.14,-4.14,-0.7,-0.7
RBC,5y,2009-12-31_2019-12-31,30b,2,Yes,MOM,-4.18,-4.17,-0.71,-0.71
RBC,20y,2009-12-31_2019-12-31,30b,2,Yes,MOM,-4.43,-4.43,-0.74,-0.74
