Model,Data Length,Horizon,Signal Lag,Leverage,Double Down,Strategy Type,Net PnL,Gross PnL,Net SR,Gross SR
RBC,10y,2007-12-31_2009-12-31,10b,2,Yes,MOM,1.45,1.45,0.78,0.78
RBC,10y,2007-12-31_2009-12-31,30b,2,Yes,MOM,1.42,1.42,0.8,0.8
RBC,5y,2007-12-31_2009-12-31,30b,2,Yes,MOM,1.35,1.35,0.72,0.72
RBC,10y,2007-12-31_2009-12-31,20b,2,Yes,MOM,1.24,1.24,0.68,0.68
RBC,5y,2007-12-31_2009-12-31,10b,2,Yes,MOM,1.19,1.19,0.62,0.62
RBC,5y,2007-12-31_2009-12-31,20b,2,Yes,MOM,1.16,1.16,0.62,0.62
RBC,5y,2007-12-31_2009-12-31,30b,2,No,MOM,0.84,0.84,0.63,0.63
RBC,10y,2007-12-31_2009-12-31,10b,2,No,MOM,0.83,0.83,0.61,0.62
RBC,5y,2007-12-31_2009-12-31,10b,2,No,MOM,0.79,0.79,0.58,0.58
RBC,5y,2007-12-31_2009-12-31,20b,2,No,MOM,0.73,0.73,0.54,0.54
RBC,10y,2007-12-31_2009-12-31,10b,1,Yes,MOM,0.73,0.73,0.78,0.78
RBC,10y,2007-12-31_2009-12-31,30b,2,No,MOM,0.72,0.72,0.54,0.54
RBC,10y,2007-12-31_2009-12-31,30b,1,Yes,MOM,0.71,0.71,0.8,0.8
RBC,5y,2007-12-31_2009-12-31,30b,1,Yes,MOM,0.67,0.68,0.72,0.72
RBC,10y,2007-12-31_2009-12-31,20b,1,Yes,MOM,0.62,0.62,0.68,0.68
RBC,5y,2007-12-31_2009-12-31,10b,1,Yes,MOM,0.59,0.59,0.62,0.62
RBC,5y,2007-12-31_2009-12-31,20b,1,Yes,MOM,0.58,0.58,0.62,0.62
RBC,10y,2007-12-31_2009-12-31,20b,2,No,MOM,0.57,0.57,0.42,0.42
RBC,5y,2007-12-31_2009-12-31,30b,1,No,MOM,0.42,0.42,0.63,0.63
RBC,10y,2007-12-31_2009-12-31,10b,1,No,MOM,0.42,0.42,0.61,0.62
RBC,5y,2007-12-31_2009-12-31,10b,1,No,MOM,0.4,0.4,0.58,0.58
RBC,5y,2007-12-31_2009-12-31,20b,1,No,MOM,0.36,0.37,0.54,0.54
RBC,10y,2007-12-31_2009-12-31,30b,1,No,MOM,0.36,0.36,0.54,0.54
RBC,10y,2007-12-31_2009-12-31,20b,1,No,MOM,0.29,0.29,0.42,0.42
BH,N/A,2007-12-31_2009-12-31,N/A,1,No,N/A,-0.1,-0.1,-0.14,-0.14
RBC,10y,2007-12-31_2009-12-31,20b,1,No,MR,-0.29,-0.29,-0.43,-0.42
RBC,10y,2007-12-31_2009-12-31,30b,1,No,MR,-0.36,-0.36,-0.54,-0.54
RBC,5y,2007-12-31_2009-12-31,20b,1,No,MR,-0.37,-0.37,-0.54,-0.54
RBC,5y,2007-12-31_2009-12-31,10b,1,No,MR,-0.4,-0.4,-0.59,-0.58
RBC,10y,2007-12-31_2009-12-31,10b,1,No,MR,-0.42,-0.42,-0.62,-0.62
RBC,5y,2007-12-31_2009-12-31,30b,1,No,MR,-0.42,-0.42,-0.63,-0.63
RBC,10y,2007-12-31_2009-12-31,20b,2,No,MR,-0.57,-0.57,-0.43,-0.42
RBC,5y,2007-12-31_2009-12-31,20b,1,Yes,MR,-0.58,-0.58,-0.62,-0.62
RBC,5y,2007-12-31_2009-12-31,10b,1,Yes,MR,-0.59,-0.59,-0.62,-0.62
RBC,10y,2007-12-31_2009-12-31,20b,1,Yes,MR,-0.62,-0.62,-0.68,-0.68
RBC,5y,2007-12-31_2009-12-31,30b,1,Yes,MR,-0.68,-0.68,-0.72,-0.72
RBC,10y,2007-12-31_2009-12-31,30b,1,Yes,MR,-0.71,-0.71,-0.8,-0.8
RBC,10y,2007-12-31_2009-12-31,30b,2,No,MR,-0.72,-0.72,-0.54,-0.54
RBC,10y,2007-12-31_2009-12-31,10b,1,Yes,MR,-0.73,-0.73,-0.78,-0.78
RBC,5y,2007-12-31_2009-12-31,20b,2,No,MR,-0.73,-0.73,-0.54,-0.54
RBC,5y,2007-12-31_2009-12-31,10b,2,No,MR,-0.79,-0.79,-0.59,-0.58
RBC,10y,2007-12-31_2009-12-31,10b,2,No,MR,-0.84,-0.83,-0.62,-0.62
RBC,5y,2007-12-31_2009-12-31,30b,2,No,MR,-0.84,-0.84,-0.63,-0.63
RBC,5y,2007-12-31_2009-12-31,20b,2,Yes,MR,-1.16,-1.16,-0.62,-0.62
RBC,5y,2007-12-31_2009-12-31,10b,2,Yes,MR,-1.19,-1.19,-0.62,-0.62
RBC,10y,2007-12-31_2009-12-31,20b,2,Yes,MR,-1.24,-1.24,-0.68,-0.68
RBC,5y,2007-12-31_2009-12-31,30b,2,Yes,MR,-1.35,-1.35,-0.72,-0.72
RBC,10y,2007-12-31_2009-12-31,30b,2,Yes,MR,-1.42,-1.42,-0.8,-0.8
RBC,10y,2007-12-31_2009-12-31,10b,2,Yes,MR,-1.45,-1.45,-0.78,-0.78
